rank,op_name,mean_mse,mean_cos
176,/base/transformer/layer.1/attention/k_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
177,base.transformer.layer.1.attention.k_lin.bias,0.0008255921546375989,0.99946850613958
178,/base/transformer/layer.1/attention/v_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
179,base.transformer.layer.1.attention.v_lin.bias,0.0008255921546375989,0.99946850613958
180,/base/transformer/layer.1/attention/Mul_output_0,0.0008255921546375989,0.99946850613958
181,/base/transformer/layer.1/attention/Add_output_0,0.0008255921546375989,0.99946850613958
182,/base/transformer/layer.1/attention/out_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
183,base.transformer.layer.1.attention.out_lin.bias,0.0008255921546375989,0.99946850613958
184,/base/transformer/layer.1/ffn/lin1/MatMul_output_0,0.0008255921546375989,0.99946850613958
185,base.transformer.layer.1.ffn.lin1.bias,0.0008255921546375989,0.99946850613958
186,/base/transformer/layer.1/ffn/activation/Constant_output_0,0.0008255921546375989,0.99946850613958
187,/base/transformer/layer.1/ffn/activation/Constant_2_output_0,0.0008255921546375989,0.99946850613958
188,/base/transformer/layer.1/ffn/lin2/MatMul_output_0,0.0008255921546375989,0.99946850613958
189,base.transformer.layer.1.ffn.lin2.bias,0.0008255921546375989,0.99946850613958
190,/base/transformer/layer.2/attention/q_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
191,base.transformer.layer.2.attention.q_lin.bias,0.0008255921546375989,0.99946850613958
192,/base/transformer/layer.2/attention/k_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
193,base.transformer.layer.2.attention.k_lin.bias,0.0008255921546375989,0.99946850613958
194,/base/transformer/layer.2/attention/v_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
195,base.transformer.layer.2.attention.v_lin.bias,0.0008255921546375989,0.99946850613958
196,/base/transformer/layer.2/attention/Mul_output_0,0.0008255921546375989,0.99946850613958
197,/base/transformer/layer.2/attention/Add_output_0,0.0008255921546375989,0.99946850613958
198,/base/transformer/layer.2/attention/out_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
199,base.transformer.layer.2.attention.out_lin.bias,0.0008255921546375989,0.99946850613958
200,/base/transformer/layer.2/ffn/lin1/MatMul_output_0,0.0008255921546375989,0.99946850613958
201,base.transformer.layer.2.ffn.lin1.bias,0.0008255921546375989,0.99946850613958
202,/base/transformer/layer.2/ffn/activation/Constant_output_0,0.0008255921546375989,0.99946850613958
203,/base/transformer/layer.2/ffn/activation/Constant_2_output_0,0.0008255921546375989,0.99946850613958
204,/base/transformer/layer.2/ffn/lin2/MatMul_output_0,0.0008255921546375989,0.99946850613958
205,base.transformer.layer.2.ffn.lin2.bias,0.0008255921546375989,0.99946850613958
206,/base/transformer/layer.3/attention/q_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
207,base.transformer.layer.3.attention.q_lin.bias,0.0008255921546375989,0.99946850613958
208,/base/transformer/layer.3/attention/k_lin/MatMul_output_0,0.0008255921546375989,0.99946850613958
209,base.transformer.layer.3.attention.k_lin.bias,0.0008255921546375989,0.99946850613958
